cohort_name,estimate,value,diagnostics,source
acei_arbs,Clinical description,"Angiotensin-converting enzyme inhibitors (ACEi) and angiotensin II receptor blockers (ARBs) are medications primarily used to treat hypertension and heart failure. They work by relaxing blood vessels and decreasing blood volume, which lowers blood pressure and makes it easier for the heart to pump blood.",cohort_count,gemini-2.5-pro
acei_arbs,Frequency,"Use of these medications is extremely common as they are first-line treatments for prevalent cardiovascular and renal conditions. We would expect to identify a very large number of users in primary care, hospital, and insurance claims data.",cohort_count,gemini-2.5-pro
acei_arbs,Median age of incident cases,"60 to 70 (The median age reflects the typical age of onset for the main indications for these drugs, such as hypertension, heart failure, and type 2 diabetes.)",cohort_characteristics,gemini-2.5-pro
acei_arbs,Percentage male,"45% to 55% (The conditions treated by these drugs are common in both sexes, resulting in a relatively balanced sex distribution among users.)",cohort_characteristics,gemini-2.5-pro
acei_arbs,Survival at five years,"80% to 95% (Survival is generally high as these drugs manage chronic conditions, although the underlying cardiovascular diseases mean mortality is higher than in the general population.)",cohort_survival,gemini-2.5-pro
acei_arbs,Cohort overlap,"A person prescribed an acei/arb will also be in an antihypertensive cohort (100%), and there is very high overlap with cohorts for hypertension (70-90%), dyslipidemia (40-70%), statin use (40-70%), type 2 diabetes (20-40%), heart failure (20-40%), and chronic kidney disease (20-40%), with moderate overlap for cohorts of acute myocardial infarction (20-40%), ischaemic stroke (20-40%), other antihypertensives like beta_blockers or calcium_channel_blockers (20-50%), and aspirin (30-60%).",compare_cohorts,gemini-2.5-pro
acei_arbs,Cohort timing,"For chronic conditions like hypertension or type 2 diabetes, the diagnosis often precedes or is concurrent with acei/arb initiation, whereas for acute events like a myocardial infarction or ischaemic stroke, the acei/arb is typically started days to weeks after the event.",compare_cohorts,gemini-2.5-pro
acei_arbs,Frequently seen comorbidities,"hypertension, dyslipidaemia, type 2 diabetes, chronic kidney disease, ischaemic heart disease, heart failure, atrial fibrillation, obesity, peripheral vascular disease, ischaemic stroke. (these comorbidities represent either the primary indications for prescribing acei/arbs or are part of the same spectrum of cardiovascular and metabolic diseases.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
acei_arbs,Frequently seen signs and symptoms,"elevated blood pressure, dyspnoea, peripheral oedema, fatigue, chest pain, palpitations, proteinuria, dizziness, headache, decreased exercise tolerance. (these are signs and symptoms of the underlying conditions for which acei/arbs are prescribed, such as hypertension, heart failure, and chronic kidney disease.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
acei_arbs,Frequently seen medications,"thiazide diuretics, statins, beta-adrenergic blocking agents, calcium channel blockers, aspirin, metformin, direct oral anticoagulants, loop diuretics, proton pump inhibitors, P2Y12 inhibitors. (these medications are frequently co-prescribed to manage associated cardiovascular conditions and risk factors, reflecting guideline-recommended combination therapy.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
